File Path,EPSG Code,Projection,Spheroid,Semi-major Axis,Inverse Flattening,Datum,Unit,Unit Conversion Factor,GeoTransform Top Left X,GeoTransform Pixel Size X,GeoTransform Rotation X,GeoTransform Top Left Y,GeoTransform Rotation Y,GeoTransform Pixel Size Y
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-G/1km176090475502021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,609000.0,0.5,0.0,4756000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-H/1km176250475802021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,625000.0,0.5,0.0,4759000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-I/1km176450475802021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,645000.0,0.5,0.0,4759000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-J/1km176220474402021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,622000.0,0.5,0.0,4745000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/Hamilton-Niagara-DTM-K/1km176470474702021LNIAGARA_DTM.tif,7019,Transverse_Mercator,,,,,,,647000.0,0.5,0.0,4748000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-01/1km174400484302022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,440000.0,0.5,0.0,4844000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-02/1km174640483102022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,464000.0,0.5,0.0,4832000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-03/1km174860483002022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,486000.0,0.5,0.0,4831000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-04/1km175010481802022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,501000.0,0.5,0.0,4819000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-05/1km174410485302022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,441000.0,0.5,0.0,4854000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-06/1km174650485302022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,465000.0,0.5,0.0,4854000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-07/1km174880485302022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,488000.0,0.5,0.0,4854000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-08/1km175110485302022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,511000.0,0.5,0.0,4854000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-09/1km174390487802022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,439000.0,0.5,0.0,4879000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-10/1km174670487402022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,467000.0,0.5,0.0,4875000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-11/1km174900487402022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,490000.0,0.5,0.0,4875000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-12/1km175130487402022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,513000.0,0.5,0.0,4875000.0,0.0,-0.5
